balance_decile,total_customers,min_balance_usd,max_balance_usd,avg_balance_usd,total_conversions,conversion_rate_pct,avg_outreach_attempts,conversion_rank
1,7280,-8019,0,-164.33708791208792,502,6.9,2.999862637362637,10
2,1773,1,22,9.003948110547096,128,7.22,2.975747320924986,9
3,4544,23,131,73.7768485915493,417,9.18,2.821082746478873,8
4,4516,132,272,199.81576616474757,489,10.83,2.7739149689991143,7
5,4495,273,448,354.8344827586207,513,11.41,2.795550611790879,6
6,4522,449,701,567.6948252985404,543,12.01,2.628704113224237,5
7,4526,702,1126,894.6279275298276,574,12.68,2.7001767565178967,4
8,4513,1127,1859,1454.0241524484823,643,14.25,2.6567693330378908,3
9,4520,1860,3574,2592.8232300884956,751,16.62,2.604867256637168,1
10,4521,3575,102127,7749.780137137801,729,16.12,2.666445476664455,2
