"age;""job"";""marital"";""education"";""default"";""housing"";""loan"";""contact"";""month"";""day_of_week"";""duration"";""campaign"";""pdays"";""previous"";""poutcome"";""emp.var.rate"";""cons.price.idx"";""cons.conf.idx"";""euribor3m"";""nr.employed"";""y""",household_id
"56;""housemaid"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";261;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00000
"57;""services"";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";149;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00001
"37;""services"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";226;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00002
"40;""admin."";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";151;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00003
"56;""services"";""married"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";307;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00004
"45;""services"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";198;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00005
"59;""admin."";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";139;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00006
"41;""blue-collar"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";217;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00007
"24;""technician"";""single"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";380;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00008
"25;""services"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";50;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00009
"41;""blue-collar"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";55;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00010
"25;""services"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";222;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00011
"29;""blue-collar"";""single"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";137;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00012
"57;""housemaid"";""divorced"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";293;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00013
"35;""blue-collar"";""married"";""basic.6y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";146;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00014
"54;""retired"";""married"";""basic.9y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";174;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00015
"35;""blue-collar"";""married"";""basic.6y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";312;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00016
"46;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";440;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00017
"50;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";353;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00018
"39;""management"";""single"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";195;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00019
"30;""unemployed"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";38;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00020
"55;""blue-collar"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";262;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00021
"55;""retired"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";342;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00022
"41;""technician"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";181;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00023
"37;""admin."";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";172;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00024
"35;""technician"";""married"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";99;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00025
"59;""technician"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";93;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00026
"39;""self-employed"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";233;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00027
"54;""technician"";""single"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";255;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00028
"55;""unknown"";""married"";""university.degree"";""unknown"";""unknown"";""unknown"";""telephone"";""may"";""mon"";362;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00029
"46;""admin."";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""mon"";348;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00030
"59;""technician"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";386;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00031
"49;""blue-collar"";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""mon"";73;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00032
"54;""management"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";230;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00033
"54;""blue-collar"";""divorced"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";208;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00034
"55;""unknown"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";336;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00035
"34;""services"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";365;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00036
"52;""technician"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";1666;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00037
"41;""admin."";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";577;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00038
"56;""technician"";""married"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";137;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00039
"58;""management"";""unknown"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";366;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00040
"32;""entrepreneur"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";314;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00041
"38;""admin."";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";160;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00042
"57;""admin."";""married"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";212;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00043
"44;""admin."";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";188;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00044
"42;""technician"";""single"";""professional.course"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";22;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00045
"57;""admin."";""married"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";616;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00046
"40;""blue-collar"";""married"";""basic.9y"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";178;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00047
"35;""admin."";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";355;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00048
"45;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";225;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00049
"54;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";160;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00050
"39;""housemaid"";""married"";""basic.4y"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";266;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00051
"60;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";253;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00052
"53;""admin."";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";179;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00053
"55;""blue-collar"";""married"";""basic.4y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";269;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00054
"55;""technician"";""married"";""professional.course"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";135;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00055
"50;""management"";""married"";""university.degree"";""unknown"";""no"";""yes"";""telephone"";""may"";""mon"";161;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00056
"45;""services"";""married"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";787;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00057
"55;""unemployed"";""married"";""professional.course"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";145;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00058
"25;""technician"";""single"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";174;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00059
"47;""entrepreneur"";""married"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";449;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00060
"51;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";812;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00061
"42;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";164;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00062
"42;""blue-collar"";""married"";""basic.6y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";366;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00063
"48;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";357;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00064
"37;""admin."";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";232;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00065
"44;""blue-collar"";""single"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";91;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00066
"33;""admin."";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";273;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00067
"56;""admin."";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";158;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00068
"44;""blue-collar"";""single"";""basic.4y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";177;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00069
"41;""management"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";200;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00070
"44;""management"";""divorced"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";172;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00071
