household_id,login_frequency_monthly,mobile_app_sessions,customer_service_calls_30d
HH_00000,11,3,1
HH_00001,8,3,3
HH_00002,18,4,0
HH_00003,18,6,0
HH_00004,8,5,3
HH_00005,8,5,0
HH_00006,16,5,0
HH_00007,12,2,0
HH_00008,17,4,1
HH_00009,11,7,1
HH_00010,14,6,3
HH_00011,24,2,0
HH_00012,9,4,0
HH_00013,12,9,1
HH_00014,8,4,0
HH_00015,12,3,0
HH_00016,5,9,0
HH_00017,8,4,0
HH_00018,11,4,0
HH_00019,9,3,0
HH_00020,21,4,1
HH_00021,15,2,1
HH_00022,21,6,0
HH_00023,12,8,0
HH_00024,9,1,2
HH_00025,6,4,0
HH_00026,12,2,2
HH_00027,8,8,0
HH_00028,13,2,0
HH_00029,11,4,0
HH_00030,13,3,0
HH_00031,12,8,2
HH_00032,12,8,2
HH_00033,9,9,4
HH_00034,11,10,1
HH_00035,13,2,0
HH_00036,12,6,4
HH_00037,18,11,0
HH_00038,11,3,1
HH_00039,10,7,2
HH_00040,14,7,0
HH_00041,10,7,3
HH_00042,10,3,1
HH_00043,14,8,1
HH_00044,12,4,1
HH_00045,9,7,0
HH_00046,4,2,2
HH_00047,14,4,0
HH_00048,9,3,0
HH_00049,11,4,0
HH_00050,10,7,0
HH_00051,9,10,0
HH_00052,12,3,5
HH_00053,13,4,0
HH_00054,8,5,2
HH_00055,12,5,0
HH_00056,14,6,0
HH_00057,13,2,0
HH_00058,12,3,2
HH_00059,12,6,1
HH_00060,17,1,0
HH_00061,11,9,0
HH_00062,11,5,0
HH_00063,9,4,3
HH_00064,12,2,0
HH_00065,13,5,1
HH_00066,17,2,0
HH_00067,10,7,2
HH_00068,12,8,1
HH_00069,14,3,1
HH_00070,6,5,1
HH_00071,10,6,2
HH_00072,15,4,1
HH_00073,6,2,0
HH_00074,14,5,2
HH_00075,9,7,1
HH_00076,16,4,1
HH_00077,14,4,1
HH_00078,12,7,0
HH_00079,9,5,2
HH_00080,14,1,2
HH_00081,10,5,2
HH_00082,16,3,1
HH_00083,15,5,2
HH_00084,11,9,2
HH_00085,20,5,0
HH_00086,14,6,2
HH_00087,11,4,1
HH_00088,10,9,0
HH_00089,10,3,1
HH_00090,17,4,1
HH_00091,14,2,3
HH_00092,9,5,1
HH_00093,10,6,1
HH_00094,13,4,0
HH_00095,10,5,0
HH_00096,9,8,2
HH_00097,10,5,0
HH_00098,11,4,2
HH_00099,15,7,2
HH_00100,13,4,0
HH_00101,10,8,0
HH_00102,12,5,2
HH_00103,10,7,0
HH_00104,15,3,2
HH_00105,17,5,2
HH_00106,16,5,2
HH_00107,12,5,0
HH_00108,9,9,0
HH_00109,12,4,1
HH_00110,7,7,1
HH_00111,13,7,1
HH_00112,10,3,2
HH_00113,13,8,1
HH_00114,11,6,2
HH_00115,12,3,1
HH_00116,8,6,2
HH_00117,7,2,2
HH_00118,17,6,0
HH_00119,20,5,2
HH_00120,8,3,2
HH_00121,11,0,0
HH_00122,21,3,4
HH_00123,16,6,1
HH_00124,4,6,0
HH_00125,17,3,0
HH_00126,15,9,0
HH_00127,9,5,1
HH_00128,14,8,2
HH_00129,7,2,0
HH_00130,7,5,1
HH_00131,16,4,2
HH_00132,17,8,2
HH_00133,11,5,1
HH_00134,13,3,2
HH_00135,12,7,0
HH_00136,14,7,2
HH_00137,15,7,2
HH_00138,10,6,1
HH_00139,13,4,0
HH_00140,14,6,0
HH_00141,14,5,1
HH_00142,12,8,1
HH_00143,8,4,3
HH_00144,8,5,0
HH_00145,9,4,0
HH_00146,13,3,2
HH_00147,17,3,2
HH_00148,12,9,1
HH_00149,18,9,2
HH_00150,10,2,1
HH_00151,13,7,0
HH_00152,15,5,1
HH_00153,12,8,2
HH_00154,16,4,3
HH_00155,16,5,1
HH_00156,19,0,2
HH_00157,7,3,0
HH_00158,11,4,2
HH_00159,12,9,0
HH_00160,10,3,2
HH_00161,18,2,0
HH_00162,16,8,4
HH_00163,13,7,2
HH_00164,12,5,0
HH_00165,6,8,0
HH_00166,13,5,1
HH_00167,15,6,0
HH_00168,12,8,1
HH_00169,11,3,2
HH_00170,14,7,4
HH_00171,17,4,4
HH_00172,10,6,1
HH_00173,9,5,1
HH_00174,12,9,3
HH_00175,8,4,3
HH_00176,9,3,1
HH_00177,12,1,1
HH_00178,7,2,0
HH_00179,16,7,1
HH_00180,11,3,0
HH_00181,15,8,1
HH_00182,13,4,1
HH_00183,11,4,0
HH_00184,16,10,0
HH_00185,11,4,1
HH_00186,10,10,0
HH_00187,16,5,1
HH_00188,17,2,3
HH_00189,12,3,0
HH_00190,11,4,0
HH_00191,16,11,2
HH_00192,7,5,0
HH_00193,13,8,0
HH_00194,13,4,1
HH_00195,11,2,0
HH_00196,14,4,1
HH_00197,9,6,0
HH_00198,9,6,0
HH_00199,11,7,1
HH_00200,13,3,1
HH_00201,16,3,1
HH_00202,9,5,0
HH_00203,10,2,1
HH_00204,7,5,3
HH_00205,13,6,1
HH_00206,15,5,1
HH_00207,11,0,2
HH_00208,15,3,2
HH_00209,17,6,2
HH_00210,15,5,1
HH_00211,8,7,0
HH_00212,11,5,2
HH_00213,12,1,0
HH_00214,8,9,2
HH_00215,8,4,1
HH_00216,7,3,1
HH_00217,13,2,2
HH_00218,9,4,1
HH_00219,9,4,2
HH_00220,9,3,1
HH_00221,8,3,1
HH_00222,13,2,1
HH_00223,22,3,2
HH_00224,8,0,2
HH_00225,12,5,0
HH_00226,14,4,1
HH_00227,14,5,0
HH_00228,8,2,1
HH_00229,7,4,0
HH_00230,14,5,0
HH_00231,17,8,1
HH_00232,13,5,3
HH_00233,12,1,0
HH_00234,5,0,0
HH_00235,24,6,1
HH_00236,11,4,0
HH_00237,10,3,2
HH_00238,19,1,2
HH_00239,9,4,1
HH_00240,12,2,0
HH_00241,24,6,2
HH_00242,4,2,1
HH_00243,22,5,0
HH_00244,9,5,1
HH_00245,7,3,0
HH_00246,10,5,1
HH_00247,13,6,2
HH_00248,14,4,0
HH_00249,8,4,1
HH_00250,16,9,1
HH_00251,14,3,0
HH_00252,11,2,2
HH_00253,9,2,1
HH_00254,18,7,0
HH_00255,5,8,0
HH_00256,13,5,1
HH_00257,15,4,1
HH_00258,9,4,0
HH_00259,19,4,0
HH_00260,7,3,1
HH_00261,6,4,0
HH_00262,8,4,1
HH_00263,13,5,1
HH_00264,16,8,1
HH_00265,8,2,1
HH_00266,10,11,0
HH_00267,12,5,1
HH_00268,18,7,1
HH_00269,7,4,1
HH_00270,8,3,2
HH_00271,10,6,0
HH_00272,12,4,1
HH_00273,10,3,1
HH_00274,13,9,2
HH_00275,6,5,0
HH_00276,9,4,0
HH_00277,8,7,1
HH_00278,12,5,0
HH_00279,14,4,0
HH_00280,11,3,0
HH_00281,5,8,0
HH_00282,8,3,0
HH_00283,3,2,0
HH_00284,11,8,1
HH_00285,15,4,0
HH_00286,12,4,0
HH_00287,10,4,1
HH_00288,9,7,1
HH_00289,13,3,1
HH_00290,13,7,0
HH_00291,14,6,1
HH_00292,13,4,0
HH_00293,13,3,1
HH_00294,9,2,0
HH_00295,12,7,0
HH_00296,19,8,1
HH_00297,8,8,2
HH_00298,7,5,0
HH_00299,14,5,0
HH_00300,15,7,1
HH_00301,12,5,3
HH_00302,17,11,3
HH_00303,17,8,0
HH_00304,8,3,3
HH_00305,8,5,0
HH_00306,9,3,3
HH_00307,12,6,0
HH_00308,16,6,2
HH_00309,19,4,2
HH_00310,19,6,1
HH_00311,17,9,0
HH_00312,18,3,1
HH_00313,10,5,1
HH_00314,14,5,0
HH_00315,16,4,0
HH_00316,13,4,1
HH_00317,3,3,2
HH_00318,13,5,1
HH_00319,13,8,0
HH_00320,15,4,2
HH_00321,13,5,2
HH_00322,8,8,1
HH_00323,14,5,1
HH_00324,12,7,1
HH_00325,15,4,0
HH_00326,12,3,1
HH_00327,18,4,0
HH_00328,15,6,1
HH_00329,7,6,0
HH_00330,15,8,0
HH_00331,14,8,1
HH_00332,8,8,1
HH_00333,11,2,2
HH_00334,11,7,1
HH_00335,14,6,0
HH_00336,10,2,0
HH_00337,9,3,2
HH_00338,13,4,0
HH_00339,8,9,0
HH_00340,8,3,1
HH_00341,15,5,1
HH_00342,7,5,0
HH_00343,7,2,2
HH_00344,12,3,0
HH_00345,12,5,1
HH_00346,13,3,1
HH_00347,11,4,1
HH_00348,11,7,1
HH_00349,12,6,0
HH_00350,17,4,2
HH_00351,6,8,3
HH_00352,4,7,2
HH_00353,12,4,1
HH_00354,14,12,2
HH_00355,16,1,1
HH_00356,14,4,0
HH_00357,9,7,0
HH_00358,11,10,0
HH_00359,14,5,1
HH_00360,13,3,0
HH_00361,16,8,1
HH_00362,11,4,1
HH_00363,13,3,0
HH_00364,18,6,2
HH_00365,11,3,1
HH_00366,15,9,1
HH_00367,7,5,1
HH_00368,22,8,1
HH_00369,13,5,4
HH_00370,11,11,1
HH_00371,6,7,2
HH_00372,21,4,1
HH_00373,10,5,0
HH_00374,14,5,2
HH_00375,13,4,0
HH_00376,15,6,2
HH_00377,11,7,1
HH_00378,11,9,2
HH_00379,19,6,2
HH_00380,15,11,4
HH_00381,20,2,0
HH_00382,11,4,1
HH_00383,9,6,0
HH_00384,13,2,0
HH_00385,13,4,0
HH_00386,10,4,1
HH_00387,12,5,1
HH_00388,6,5,2
HH_00389,12,3,0
HH_00390,8,6,0
HH_00391,15,5,2
HH_00392,12,5,1
HH_00393,12,4,1
HH_00394,16,7,1
HH_00395,14,6,3
HH_00396,10,3,0
HH_00397,9,3,1
HH_00398,6,5,1
HH_00399,10,5,2
HH_00400,6,2,1
HH_00401,12,4,1
HH_00402,9,8,0
HH_00403,12,5,1
HH_00404,6,7,2
HH_00405,12,4,0
HH_00406,16,7,0
HH_00407,14,4,1
HH_00408,16,3,1
HH_00409,11,2,0
HH_00410,18,9,2
HH_00411,8,2,1
HH_00412,10,4,0
HH_00413,10,1,3
HH_00414,12,7,1
HH_00415,9,4,2
HH_00416,14,6,1
HH_00417,18,8,0
HH_00418,15,6,0
HH_00419,11,5,1
HH_00420,12,3,2
HH_00421,12,6,0
HH_00422,10,5,0
HH_00423,12,1,0
HH_00424,3,3,0
HH_00425,10,5,1
HH_00426,5,5,1
HH_00427,12,4,0
HH_00428,9,4,2
HH_00429,15,4,0
HH_00430,11,5,1
HH_00431,14,6,1
HH_00432,13,6,0
HH_00433,12,6,1
HH_00434,15,7,1
HH_00435,11,5,3
HH_00436,8,2,1
HH_00437,9,3,1
HH_00438,17,4,0
HH_00439,14,7,3
HH_00440,12,5,1
HH_00441,11,0,1
HH_00442,10,3,2
HH_00443,14,9,0
HH_00444,17,4,2
HH_00445,12,4,2
HH_00446,20,6,2
HH_00447,17,3,2
HH_00448,15,13,1
HH_00449,11,4,2
HH_00450,20,4,0
HH_00451,11,7,0
HH_00452,16,9,1
HH_00453,8,5,1
HH_00454,9,3,0
HH_00455,12,3,2
HH_00456,9,4,1
HH_00457,11,7,1
HH_00458,15,10,0
HH_00459,14,8,0
HH_00460,12,2,0
HH_00461,11,5,1
HH_00462,19,6,0
HH_00463,17,3,2
HH_00464,12,12,2
HH_00465,17,6,2
HH_00466,13,6,2
HH_00467,13,5,1
HH_00468,10,6,0
HH_00469,9,4,1
HH_00470,14,7,1
HH_00471,10,6,0
HH_00472,10,5,0
HH_00473,9,9,1
HH_00474,15,7,0
HH_00475,10,2,0
HH_00476,9,8,2
HH_00477,10,6,0
HH_00478,8,5,1
HH_00479,14,5,1
HH_00480,11,6,1
HH_00481,11,3,3
HH_00482,11,4,1
HH_00483,16,5,1
HH_00484,6,5,2
HH_00485,5,4,1
HH_00486,16,7,0
HH_00487,20,5,2
HH_00488,8,2,1
HH_00489,15,5,0
HH_00490,10,6,1
HH_00491,12,2,0
HH_00492,12,6,2
HH_00493,13,8,3
HH_00494,18,7,1
HH_00495,15,2,1
HH_00496,15,12,1
HH_00497,9,3,0
HH_00498,13,4,1
HH_00499,17,3,1
HH_00500,9,4,1
HH_00501,9,6,1
HH_00502,19,8,0
HH_00503,13,3,1
HH_00504,7,6,1
HH_00505,13,8,2
HH_00506,12,6,0
HH_00507,4,3,0
HH_00508,18,4,3
HH_00509,12,6,0
HH_00510,18,6,0
HH_00511,9,9,1
