"age;""job"";""marital"";""education"";""default"";""housing"";""loan"";""contact"";""month"";""day_of_week"";""duration"";""campaign"";""pdays"";""previous"";""poutcome"";""emp.var.rate"";""cons.price.idx"";""cons.conf.idx"";""euribor3m"";""nr.employed"";""y""",household_id,total_spend,avg_transaction_amount,transaction_count,login_frequency_monthly,mobile_app_sessions,customer_service_calls_30d,credit_score,debt_to_income_ratio,delinquency_flag_90d
"56;""housemaid"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";261;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00000,70.39021349652886,70.39021349652886,1,11,3,1,598,0.3696653223915003,1
"57;""services"";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";149;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00001,451.51821463762815,451.51821463762815,1,8,3,3,604,0.1126009285329492,0
"37;""services"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";226;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00002,197.5118540318174,197.5118540318174,1,18,4,0,632,0.2199849075202482,0
"40;""admin."";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";151;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00003,136.94138306639297,136.94138306639297,1,18,6,0,803,0.2874065077719933,0
"56;""services"";""married"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";307;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00004,25.443730569351946,25.443730569351946,1,8,5,3,629,0.4905735288845173,0
"45;""services"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";198;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00005,25.439443787190772,25.439443787190772,1,8,5,0,584,0.3020806064716933,0
"59;""admin."";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";139;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00006,8.975815291302101,8.975815291302101,1,16,5,0,642,0.1169942824159783,0
"41;""blue-collar"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";217;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00007,301.68462967199093,301.68462967199093,1,12,2,0,583,0.2210374891501251,1
"24;""technician"";""single"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";380;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00008,137.8623230440897,137.8623230440897,1,17,4,1,735,0.5023210813693438,0
"25;""services"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";50;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00009,184.68750925568852,184.68750925568852,1,11,7,1,662,0.2941729458363172,0
